job_db_inx,mod_time,account,cpus_req,id_array_task,id_job,id_user,id_group,het_job_offset,mem_req,nodelist,partition,timelimit,time_submit,time_eligible,time_start,time_end,tres_alloc,tres_req
1,1725385136,\N,1,4294967294,833,1000,1040,4294967294,0,rodan,kaijus,4294967295,1725385126,1725385126,1725385126,1725385136,"1=1,3=18446744073709551614,4=1,5=1","1=1,2=256000,4=1,5=1"
3,1725456812,\N,10,4294967294,834,1007,1000,4294967294,9223372036854775908,rodan,kaijus,10,1725456473,1725456473,1725456473,1725456484,"1=10,4=1,5=10","1=10,2=1000,4=1,5=10"
5,1725456848,\N,10,4294967294,835,1007,1000,4294967294,9223372036854775908,rodan,kaijus,10,1725456837,1725456837,1725456837,1725456848,"1=10,4=1,5=10","1=10,2=1000,4=1,5=10"
7,1725644592,\N,2,4294967294,836,1016,1037,4294967294,0,rodan,kaijus,525600,1725644470,1725644470,1725644471,1725644592,"1=2,3=18446744073709551614,4=1,5=2","1=2,2=256000,4=1,5=2"
9,1725644929,\N,2,4294967294,837,1016,1037,4294967294,0,rodan,kaijus,4294967295,1725644640,1725644640,1725644640,1725644929,"1=2,3=18446744073709551614,4=1,5=2","1=2,2=256000,4=1,5=2"
813,1742996996,\N,24,4294967294,1242,1000,1051,4294967294,8192,mothra,kaijus,4294967295,1742986582,1742986582,1742986582,1742996996,"1=24,3=18446744073709551614,4=1,5=24","1=24,2=8192,4=1,5=24"
815,1743729636,utfpr,2,4294967294,1243,1000,1037,4294967294,0,rodan,kaijus,525600,1743729221,1743729221,1743729222,1743729636,"1=2,3=18446744073709551614,4=1,5=2","1=2,4=1,5=2"
817,1743730278,utfpr,2,4294967294,1244,1000,1037,4294967294,0,rodan,kaijus,4294967295,1743729990,1743729990,1743729991,1743730278,"1=2,3=18446744073709551614,4=1,5=2","1=2,2=256000,4=1,5=2"
832,1744294771,utfpr,16,4294967294,1252,1000,1035,4294967294,0,ghidorah,kaijus,525600,1744294767,1744294767,1744294767,1744294771,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
910,1745330057,\N,24,4294967294,1299,1000,1051,4294967294,8192,mothra,kaijus,4294967295,1745320478,1745320478,1745320478,1745330057,"1=24,3=18446744073709551614,4=1,5=24","1=24,2=8192,4=1,5=24"
912,1745414567,\N,1,4294967294,1300,1000,1023,4294967294,0,godzilla,kaijus,43260,1745321896,1745321896,1745321896,1745414566,"1=1,3=18446744073709551614,4=1,5=1","1=1,2=256000,4=1,5=1"
914,1745322759,\N,1,4294967294,1301,1000,1023,4294967294,0,godzilla,kaijus,43260,1745322757,1745322757,1745322757,1745322758,"1=1,3=18446744073709551614,4=1,5=1","1=1,2=256000,4=1,5=1"
916,1745324370,\N,1,4294967294,1302,1000,1023,4294967294,0,godzilla,kaijus,43260,1745322959,1745322959,1745322960,1745324370,"1=1,3=18446744073709551614,4=1,5=1","1=1,2=256000,4=1,5=1"
918,1745332929,\N,2,4294967294,1303,1000,1040,4294967294,0,mothra,kaijus,4294967295,1745332929,1745332929,1745332929,1745332929,"1=2,3=18446744073709551614,4=1,5=2","1=2,2=256000,4=1,5=2"
920,1745333014,\N,2,4294967294,1304,1000,1040,4294967294,0,mothra,kaijus,4294967295,1745333014,1745333014,1745333014,1745333014,"1=2,3=18446744073709551614,4=1,5=2","1=2,2=256000,4=1,5=2"
922,1745333282,\N,1,4294967294,1305,1000,1040,4294967294,0,mothra,kaijus,4294967295,1745333269,1745333269,1745333269,1745333282,"1=1,4=1,5=1","1=1,2=256000,4=1,5=1"
1020,1747413423,\N,1,4294967294,1374,1000,1023,4294967294,0,godzilla,kaijus,43260,1747316365,1747316365,1747316366,1747413423,"1=1,3=18446744073709551614,4=1,5=1","1=1,2=256000,4=1,5=1"
1025,1747416099,utfpr,16,4294967294,1377,1000,1038,4294967294,0,godzilla,kaijus,4294967295,1747416096,1747416096,1747416097,1747416099,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
1033,1747425632,\N,1,4294967294,1381,1000,1049,4294967294,0,godzilla,kaijus,120,1747425630,1747425630,1747425631,1747425632,"1=1,3=18446744073709551614,4=1,5=1","1=1,2=256000,4=1,5=1"
15,1725940342,\N,2,4294967294,840,1016,1037,4294967294,0,rodan,kaijus,525600,1725940045,1725940045,1725940045,1725940342,"1=2,3=18446744073709551614,4=1,5=2","1=2,2=256000,4=1,5=2"
39,1726167817,utfpr,2,4294967294,853,1016,1037,4294967294,0,rodan,kaijus,525600,1726167716,1726167716,1726167717,1726167817,"1=2,3=18446744073709551614,4=1,5=2","1=2,2=256000,4=1,5=2"
41,1726171961,utfpr,2,4294967294,854,1016,1037,4294967294,0,rodan,kaijus,4294967295,1726171815,1726171815,1726171815,1726171961,"1=2,3=18446744073709551614,4=1,5=2","1=2,2=256000,4=1,5=2"
43,1726251144,root,1,4294967294,855,1016,0,4294967294,0,rodan,kaijus,525600,1726251140,1726251140,1726251140,1726251141,"1=1,3=18446744073709551614,4=1,5=1","1=1,2=256000,4=1,5=1"
343,1732366159,\N,10,4294967294,1019,1016,1048,4294967294,102400,ghidorah,kaijus,60,1732366155,1732366155,1732366155,1732366158,"1=10,3=18446744073709551614,4=1,5=10","1=10,2=102400,4=1,5=10"
345,1732366355,\N,10,4294967294,1020,1016,1048,4294967294,102400,ghidorah,kaijus,60,1732366351,1732366351,1732366351,1732366355,"1=10,3=18446744073709551614,4=1,5=10","1=10,2=102400,4=1,5=10"
347,1732366401,\N,10,4294967294,1021,1016,1048,4294967294,102400,ghidorah,kaijus,60,1732366393,1732366393,1732366393,1732366400,"1=10,3=18446744073709551614,4=1,5=10","1=10,2=102400,4=1,5=10"
349,1732643955,utfpr,2,4294967294,1022,1016,1037,4294967294,0,ghidorah,kaijus,4294967295,1732643952,1732643952,1732643952,1732643954,"1=2,3=18446744073709551614,4=1,5=2","1=2,2=256000,4=1,5=2"
351,1732646179,utfpr,2,4294967294,1023,1016,1037,4294967294,0,ghidorah,kaijus,4294967295,1732644110,1732644110,1732644110,1732646179,"1=2,3=18446744073709551614,4=1,5=2","1=2,2=256000,4=1,5=2"
353,1732657015,utfpr,2,4294967294,1024,1016,1037,4294967294,0,ghidorah,kaijus,4294967295,1732657014,1732657014,1732657015,1732657015,"1=2,3=18446744073709551614,4=1,5=2","1=2,2=256000,4=1,5=2"
359,1732820125,utfpr,2,4294967294,1027,1016,1037,4294967294,0,mothra,kaijus,4294967295,1732819220,1732819220,1732819221,1732820124,"1=2,3=18446744073709551614,4=1,5=2","1=2,2=256000,4=1,5=2"
360,1734008189,utfpr,16,4294967294,991,1016,1035,4294967294,0,godzilla,kaijus,4294967295,1733146173,1733146294,1733146294,1734008189,"1=16,3=18446744073709551614,4=1,5=16","1=16,4=1,5=16"
368,1733705878,\N,1,4294967294,1032,1016,1023,4294967294,0,godzilla,kaijus,43260,1733394963,1733394963,1733394964,1733705878,"1=1,3=18446744073709551614,4=1,5=1","1=1,2=256000,4=1,5=1"
370,1733404836,\N,1,4294967294,1033,1016,1023,4294967294,0,godzilla,kaijus,43260,1733403114,1733403114,1733403115,1733404836,"1=1,3=18446744073709551614,4=1,5=1","1=1,2=256000,4=1,5=1"
372,1733432076,\N,1,4294967294,1034,1016,1023,4294967294,0,godzilla,kaijus,43260,1733418135,1733418135,1733418135,1733432076,"1=1,3=18446744073709551614,4=1,5=1","1=1,2=256000,4=1,5=1"
376,1733421102,utfpr,16,4294967294,1036,1016,1037,4294967294,0,mothra,kaijus,4294967295,1733421099,1733421099,1733421100,1733421100,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
378,1733421773,utfpr,16,4294967294,1037,1016,1037,4294967294,0,mothra,kaijus,525600,1733421768,1733421768,1733421768,1733421768,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
380,1733509271,utfpr,16,4294967294,1038,1016,1035,4294967294,0,ghidorah,kaijus,525600,1733507303,1733507303,1733507303,1733509271,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
400,1734007886,utfpr,16,4294967294,1048,1016,1035,4294967294,0,ghidorah,kaijus,525600,1734007858,1734007858,1734007858,1734007886,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
402,1734045929,utfpr,16,4294967294,1049,1016,1035,4294967294,0,ghidorah,kaijus,4294967295,1734007892,1734007892,1734007892,1734045929,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
404,1734009128,utfpr,16,4294967294,1050,1016,1035,4294967294,0,godzilla,kaijus,525600,1734008763,1734008763,1734008763,1734009128,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
406,1734030227,utfpr,2,4294967294,1051,1016,1037,4294967294,0,ghidorah,kaijus,4294967295,1734030217,1734030217,1734030217,1734030227,"1=2,3=18446744073709551614,4=1,5=2","1=2,2=256000,4=1,5=2"
408,1734031277,utfpr,2,4294967294,1052,1016,1037,4294967294,0,ghidorah,kaijus,525600,1734031268,1734031268,1734031268,1734031277,"1=2,3=18446744073709551614,4=1,5=2","1=2,2=256000,4=1,5=2"
410,1734031930,utfpr,2,4294967294,1053,1016,1037,4294967294,0,ghidorah,kaijus,525600,1734031922,1734031922,1734031922,1734031930,"1=2,3=18446744073709551614,4=1,5=2","1=2,2=256000,4=1,5=2"
809,1742940240,\N,24,4294967294,1240,1016,1051,4294967294,8192,mothra,kaijus,525600,1742931154,1742931154,1742931155,1742940240,"1=24,3=18446744073709551614,4=1,5=24","1=24,2=8192,4=1,5=24"
811,1742953138,\N,24,4294967294,1241,1016,1051,4294967294,8192,mothra,kaijus,525600,1742941607,1742941607,1742941608,1742953138,"1=24,3=18446744073709551614,4=1,5=24","1=24,2=8192,4=1,5=24"
384,1733509533,utfpr,2,4294967294,1040,1027,1037,4294967294,0,godzilla,kaijus,4294967295,1733509530,1733509530,1733509530,1733509533,"1=2,3=18446744073709551614,4=1,5=2","1=2,2=256000,4=1,5=2"
386,1733535938,utfpr,2,4294967294,1041,1027,1037,4294967294,0,godzilla,kaijus,4294967295,1733510010,1733510010,1733510011,1733535938,"1=2,3=18446744073709551614,4=1,5=2","1=2,2=256000,4=1,5=2"
388,1734064951,\N,1,4294967294,1042,1027,1023,4294967294,0,godzilla,kaijus,43260,1733767241,1733767241,1733767241,1734064951,"1=1,3=18446744073709551614,4=1,5=1","1=1,2=256000,4=1,5=1"
412,1734032608,utfpr,2,4294967294,1054,1027,1037,4294967294,0,ghidorah,kaijus,4294967295,1734032599,1734032599,1734032600,1734032608,"1=2,3=18446744073709551614,4=1,5=2","1=2,2=256000,4=1,5=2"
414,1734168095,utfpr,2,4294967294,1055,1027,1037,4294967294,0,ghidorah,kaijus,4294967295,1734032863,1734032863,1734032863,1734168095,"1=2,3=18446744073709551614,4=1,5=2","1=2,2=256000,4=1,5=2"
416,1734166798,utfpr,2,4294967294,1056,1027,1037,4294967294,0,ghidorah,kaijus,4294967295,1734036413,1734036413,1734036413,1734166798,"1=2,3=18446744073709551614,4=1,5=2","1=2,2=256000,4=1,5=2"
418,1734131563,\N,16,4294967294,1057,1027,1050,4294967294,0,None assigned,kaijus,4294967294,1734131507,1734131507,0,1734131563,,"1=16,2=1536000,4=6,5=16"
421,1734315856,\N,16,4294967294,1059,1027,1050,4294967294,0,mothra,kaijus,4294967295,1734315855,1734315855,1734315856,1734315856,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
423,1734363982,\N,16,4294967294,1060,1027,1050,4294967294,0,mothra,kaijus,4294967295,1734363980,1734363980,1734363981,1734363981,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
